Label,Text
a,the smoke of its passage Mont Blanc the supreme and magnificent Mont Blanc raised itself from the surrounding aiguilles and its tremendous dme overlooked the valley A tingling longlost sense of pleasure often came across me during this journey Some turn in the road some new object suddenly perceived and recognised reminded me of days gone by and were associated with the lighthearted gaiety of boyhood The very winds whispered in soothing accents and maternal Nature bade me weep no more Then again the kindly influence ceased to actI found myself fettered again to grief and indulging in all the
a,nature and celestial mechanism But I felt that I had no right to share their intercourse I had unchained an enemy among them whose joy it was to shed their blood and to revel in their groans How they would each and all abhor me and hunt me from the world did they know my unhallowed acts and the crimes which had their source in me My father yielded at length to my desire to avoid society and strove by various arguments to banish my despair Sometimes he thought that I felt deeply the degradation of being obliged to answer
a,dismissed me after mentioning that in the beginning of the following week he intended to commence a course of lectures upon natural philosophy in its general relations and that M Waldman a fellow professor would lecture upon chemistry the alternate days that he omitted I returned home not disappointed for I have said that I had long considered those authors useless whom the professor reprobated but I returned not at all the more inclined to recur to these studies in any shape M Krempe was a little squat man with a gruff voice and a repulsive countenance the teacher therefore
a,to stifle these sensations I thought that as I could not sympathise with him I had no right to withhold from him the small portion of happiness which was yet in my power to bestow You swear I said to be harmless but have you not already shown a degree of malice that should reasonably make me distrust you May not even this be a feint that will increase your triumph by affording a wider scope for your revenge How is this I must not be trifled with and I demand an answer If I have no ties and no
a,to see you looking even more ill than when you quitted Geneva This winter has been passed most miserably tortured as I have been by anxious suspense yet I hope to see peace in your countenance and to find that your heart is not totally void of comfort and tranquillity Yet I fear that the same feelings now exist that made you so miserable a year ago even perhaps augmented by time I would not disturb you at this period when so many misfortunes weigh upon you but a conversation that I had with my uncle previous to his departure
a,with a palpable enemy one by one the various keys were touched which formed the mechanism of my being chord after chord was sounded and soon my mind was filled with one thought one conception one purpose So much has been done exclaimed the soul of Frankensteinmore far more will I achieve treading in the steps already marked I will pioneer a new way explore unknown powers and unfold to the world the deepest mysteries of creation I closed not my eyes that night My internal being was in a state of insurrection and turmoil I felt that order would
a,have generally an expression of wildness and even madness but there are moments when if anyone performs an act of kindness towards him or does him any the most trifling service his whole countenance is lighted up as it were with a beam of benevolence and sweetness that I never saw equalled But he is generally melancholy and despairing and sometimes he gnashes his teeth as if impatient of the weight of woes that oppresses him When my guest was a little recovered I had great trouble to keep off the men who wished to ask him a thousand questions
a,he instantly changed the subject of our conversation and endeavoured to alter the course of my thoughts He wished as much as possible to obliterate the memory of the scenes that had taken place in Ireland and never alluded to them or suffered me to speak of my misfortunes As time passed away I became more calm misery had her dwelling in my heart but I no longer talked in the same incoherent manner of my own crimes sufficient for me was the consciousness of them By the utmost selfviolence I curbed the imperious voice of wretchedness which sometimes desired
a,not something in truth which however wonderful forces conviction The story is too connected to be mistaken for a dream and I have no motive for falsehood My manner as I thus addressed him was impressive but calm I had formed in my own heart a resolution to pursue my destroyer to death and this purpose quieted my agony and for an interval reconciled me to life I now related my history briefly but with firmness and precision marking the dates with accuracy and never deviating into invective or exclamation The magistrate appeared at first perfectly incredulous but as I
a,Heaven shower down blessings on you and save me that I may again and again testify my gratitude for all your love and kindness Your affectionate brother R Walton Letter 2 To Mrs Saville England Archangel 28th March 17 How slowly the time passes here encompassed as I am by frost and snow Yet a second step is taken towards my enterprise I have hired a vessel and am occupied in collecting my sailors those whom I have already engaged appear to be men on whom I can depend and are certainly possessed of dauntless courage But I have one
a,him and for many months this has been my task Guided by a slight clue I followed the windings of the Rhone but vainly The blue Mediterranean appeared and by a strange chance I saw the fiend enter by night and hide himself in a vessel bound for the Black Sea I took my passage in the same ship but he escaped I know not how Amidst the wilds of Tartary and Russia although he still evaded me I have ever followed in his track Sometimes the peasants scared by this horrid apparition informed me of his path sometimes he
a,She paused weeping and then continued I thought with horror my sweet lady that you should believe your Justine whom your blessed aunt had so highly honoured and whom you loved was a creature capable of a crime which none but the devil himself could have perpetrated Dear William dearest blessed child I soon shall see you again in heaven where we shall all be happy and that consoles me going as I am to suffer ignominy and death Oh Justine Forgive me for having for one moment distrusted you Why did you confess But do not mourn dear girl
a,manner I should apply to you I was oppressed by fatigue and hunger and far too unhappy to enjoy the gentle breezes of evening or the prospect of the sun setting behind the stupendous mountains of Jura At this time a slight sleep relieved me from the pain of reflection which was disturbed by the approach of a beautiful child who came running into the recess I had chosen with all the sportiveness of infancy Suddenly as I gazed on him an idea seized me that this little creature was unprejudiced and had lived too short a time to have
a,could arrive the first misfortune of my life occurredan omen as it were of my future misery Elizabeth had caught the scarlet fever her illness was severe and she was in the greatest danger During her illness many arguments had been urged to persuade my mother to refrain from attending upon her She had at first yielded to our entreaties but when she heard that the life of her favourite was menaced she could no longer control her anxiety She attended her sickbed her watchful attentions triumphed over the malignity of the distemperElizabeth was saved but the consequences of this
a,ever remember to have trembled at a tale of superstition or to have feared the apparition of a spirit Darkness had no effect upon my fancy and a churchyard was to me merely the receptacle of bodies deprived of life which from being the seat of beauty and strength had become food for the worm Now I was led to examine the cause and progress of this decay and forced to spend days and nights in vaults and charnelhouses My attention was fixed upon every object the most insupportable to the delicacy of the human feelings I saw how the
a,and dashed at my feet It was a monotonous yet everchanging scene I thought of Switzerland it was far different from this desolate and appalling landscape Its hills are covered with vines and its cottages are scattered thickly in the plains Its fair lakes reflect a blue and gentle sky and when troubled by the winds their tumult is but as the play of a lively infant when compared to the roarings of the giant ocean In this manner I distributed my occupations when I first arrived but as I proceeded in my labour it became every day more horrible
a,the friends around you who centre all their hopes in you Have we lost the power of rendering you happy Ah While we love while we are true to each other here in this land of peace and beauty your native country we may reap every tranquil blessingwhat can disturb our peace And could not such words from her whom I fondly prized before every other gift of fortune suffice to chase away the fiend that lurked in my heart Even as she spoke I drew near to her as if in terror lest at that very moment the destroyer
a,arms and relaxed form flung by the murderer on its bridal bier Could I behold this and live Alas Life is obstinate and clings closest where it is most hated For a moment only did I lose recollection I fell senseless on the ground When I recovered I found myself surrounded by the people of the inn their countenances expressed a breathless terror but the horror of others appeared only as a mockery a shadow of the feelings that oppressed me I escaped from them to the room where lay the body of Elizabeth my love my wife so lately
a,season so that perhaps I may sail sooner than I expected I shall do nothing rashly you know me sufficiently to confide in my prudence and considerateness whenever the safety of others is committed to my care I can not describe to you my sensations on the near prospect of my undertaking It is impossible to communicate to you a conception of the trembling sensation half pleasurable and half fearful with which I am preparing to depart I am going to unexplored regions to the land of mist and snow but I shall kill no albatross therefore do not be
a,beheld the woods and the lovely moon Yet I did not heed the bleakness of the weather I was better fitted by my conformation for the endurance of cold than heat But my chief delights were the sight of the flowers the birds and all the gay apparel of summer when those deserted me I turned with more attention towards the cottagers Their happiness was not decreased by the absence of summer They loved and sympathised with one another and their joys depending on each other were not interrupted by the casualties that took place around them The more I
a,teeth and ground them together uttering a groan that came from my inmost soul Justine started When she saw who it was she approached me and said Dear sir you are very kind to visit me you I hope do not believe that I am guilty I could not answer No Justine said Elizabeth he is more convinced of your innocence than I was for even when he heard that you had confessed he did not credit it I truly thank him In these last moments I feel the sincerest gratitude towards those who think of me with kindness How
a,and whose form and motions were lighter than the chamois of the hills The apparition was soon explained With his permission my mother prevailed on her rustic guardians to yield their charge to her They were fond of the sweet orphan Her presence had seemed a blessing to them but it would be unfair to her to keep her in poverty and want when Providence afforded her such powerful protection They consulted their village priest and the result was that Elizabeth Lavenza became the inmate of my parents housemy more than sisterthe beautiful and adored companion of all my occupations
a,my men are bold and apparently firm of purpose nor do the floating sheets of ice that continually pass us indicating the dangers of the region towards which we are advancing appear to dismay them We have already reached a very high latitude but it is the height of summer and although not so warm as in England the southern gales which blow us speedily towards those shores which I so ardently desire to attain breathe a degree of renovating warmth which I had not expected No incidents have hitherto befallen us that would make a figure in a letter
a,men and knew that it was impossible to return to my retreat during that day Accordingly I hid myself in some thick underwood determining to devote the ensuing hours to reflection on my situation The pleasant sunshine and the pure air of day restored me to some degree of tranquillity and when I considered what had passed at the cottage I could not help believing that I had been too hasty in my conclusions I had certainly acted imprudently It was apparent that my conversation had interested the father in my behalf and I was a fool in having exposed
a,malignant devil Yet even that enemy of God and man had friends and associates in his desolation I am alone You who call Frankenstein your friend seem to have a knowledge of my crimes and his misfortunes But in the detail which he gave you of them he could not sum up the hours and months of misery which I endured wasting in impotent passions For while I destroyed his hopes I did not satisfy my own desires They were for ever ardent and craving still I desired love and fellowship and I was still spurned Was there no injustice
a,his tale I was partly urged by curiosity and compassion confirmed my resolution I had hitherto supposed him to be the murderer of my brother and I eagerly sought a confirmation or denial of this opinion For the first time also I felt what the duties of a creator towards his creature were and that I ought to render him happy before I complained of his wickedness These motives urged me to comply with his demand We crossed the ice therefore and ascended the opposite rock The air was cold and the rain again began to descend we entered the
a,for ever Chapter 23 It was eight oclock when we landed we walked for a short time on the shore enjoying the transitory light and then retired to the inn and contemplated the lovely scene of waters woods and mountains obscured in darkness yet still displaying their black outlines The wind which had fallen in the south now rose with great violence in the west The moon had reached her summit in the heavens and was beginning to descend the clouds swept across it swifter than the flight of the vulture and dimmed her rays while the lake reflected the
a,pleasure or pain smiles or sadness in the minds and countenances of the hearers This was indeed a godlike science and I ardently desired to become acquainted with it But I was baffled in every attempt I made for this purpose Their pronunciation was quick and the words they uttered not having any apparent connection with visible objects I was unable to discover any clue by which I could unravel the mystery of their reference By great application however and after having remained during the space of several revolutions of the moon in my hovel I discovered the names that
a,stranger can be but of little relief to one borne down as you are by so strange a misfortune But you will I hope soon quit this melancholy abode for doubtless evidence can easily be brought to free you from the criminal charge That is my least concern I am by a course of strange events become the most miserable of mortals Persecuted and tortured as I am and have been can death be any evil to me Nothing indeed could be more unfortunate and agonising than the strange chances that have lately occurred You were thrown by some surprising
a,child fairer than pictured cheruba creature who seemed to shed radiance from her looks and whose form and motions were lighter than the chamois of the hills The apparition was soon explained With his permission my mother prevailed on her rustic guardians to yield their charge to her They were fond of the sweet orphan Her presence had seemed a blessing to them but it would be unfair to her to keep her in poverty and want when Providence afforded her such powerful protection They consulted their village priest and the result was that Elizabeth Lavenza became the inmate of
a,it for ever with the bitterest remorse I was now about to form another being of whose dispositions I was alike ignorant she might become ten thousand times more malignant than her mate and delight for its own sake in murder and wretchedness He had sworn to quit the neighbourhood of man and hide himself in deserts but she had not and she who in all probability was to become a thinking and reasoning animal might refuse to comply with a compact made before her creation They might even hate each other the creature who already lived loathed his own
a,his companions followed him at some distance As he was proceeding along the sands he struck his foot against something and fell at his length on the ground His companions came up to assist him and by the light of their lantern they found that he had fallen on the body of a man who was to all appearance dead Their first supposition was that it was the corpse of some person who had been drowned and was thrown on shore by the waves but on examination they found that the clothes were not wet and even that the body
a,to her bed for several days During this interval one of the servants happening to examine the apparel she had worn on the night of the murder had discovered in her pocket the picture of my mother which had been judged to be the temptation of the murderer The servant instantly showed it to one of the others who without saying a word to any of the family went to a magistrate and upon their deposition Justine was apprehended On being charged with the fact the poor girl confirmed the suspicion in a great measure by her extreme confusion of
a,proceed southwards together This letter in a degree recalled me to life and I determined to quit my island at the expiration of two days Yet before I departed there was a task to perform on which I shuddered to reflect I must pack up my chemical instruments and for that purpose I must enter the room which had been the scene of my odious work and I must handle those utensils the sight of which was sickening to me The next morning at daybreak I summoned sufficient courage and unlocked the door of my laboratory The remains of the
a,my person in case the fiend should openly attack me I carried pistols and a dagger constantly about me and was ever on the watch to prevent artifice and by these means gained a greater degree of tranquillity Indeed as the period approached the threat appeared more as a delusion not to be regarded as worthy to disturb my peace while the happiness I hoped for in my marriage wore a greater appearance of certainty as the day fixed for its solemnisation drew nearer and I heard it continually spoken of as an occurrence which no accident could possibly prevent
a,rather a severe tone I should have thought young man that the presence of your father would have been welcome instead of inspiring such violent repugnance My father cried I while every feature and every muscle was relaxed from anguish to pleasure Is my father indeed come How kind how very kind But where is he why does he not hasten to me My change of manner surprised and pleased the magistrate perhaps he thought that my former exclamation was a momentary return of delirium and now he instantly resumed his former benevolence He rose and quitted the room with
a,situated in a mean street near the Reuss But when he entered misery and despair alone welcomed him Beaufort had saved but a very small sum of money from the wreck of his fortunes but it was sufficient to provide him with sustenance for some months and in the meantime he hoped to procure some respectable employment in a merchants house The interval was consequently spent in inaction his grief only became more deep and rankling when he had leisure for reflection and at length it took so fast hold of his mind that at the end of three months
a,die in peace now that my innocence is acknowledged by you dear lady and your cousin Thus the poor sufferer tried to comfort others and herself She indeed gained the resignation she desired But I the true murderer felt the neverdying worm alive in my bosom which allowed of no hope or consolation Elizabeth also wept and was unhappy but hers also was the misery of innocence which like a cloud that passes over the fair moon for a while hides but can not tarnish its brightness Anguish and despair had penetrated into the core of my heart I bore
a,I endured for several hours this sudden certainty of life rushed like a flood of warm joy to my heart and tears gushed from my eyes How mutable are our feelings and how strange is that clinging love we have of life even in the excess of misery I constructed another sail with a part of my dress and eagerly steered my course towards the land It had a wild and rocky appearance but as I approached nearer I easily perceived the traces of cultivation I saw vessels near the shore and found myself suddenly transported back to the neighbourhood
a,present attempts would at least lay the foundations of future success Nor could I consider the magnitude and complexity of my plan as any argument of its impracticability It was with these feelings that I began the creation of a human being As the minuteness of the parts formed a great hindrance to my speed I resolved contrary to my first intention to make the being of a gigantic stature that is to say about eight feet in height and proportionably large After having formed this determination and having spent some months in successfully collecting and arranging my materials I
a,farmhouse servants to be Yet she was meanly dressed a coarse blue petticoat and a linen jacket being her only garb her fair hair was plaited but not adorned she looked patient yet sad I lost sight of her and in about a quarter of an hour she returned bearing the pail which was now partly filled with milk As she walked along seemingly incommoded by the burden a young man met her whose countenance expressed a deeper despondence Uttering a few sounds with an air of melancholy he took the pail from her head and bore it to the
a,delight on seeing Clerval his presence brought back to my thoughts my father Elizabeth and all those scenes of home so dear to my recollection I grasped his hand and in a moment forgot my horror and misfortune I felt suddenly and for the first time during many months calm and serene joy I welcomed my friend therefore in the most cordial manner and we walked towards my college Clerval continued talking for some time about our mutual friends and his own good fortune in being permitted to come to Ingolstadt You may easily believe said he how great was
a,his face was wrinkled into contortions too horrible for human eyes to behold but presently he calmed himself and proceeded I intended to reason This passion is detrimental to me for you do not reflect that you are the cause of its excess If any being felt emotions of benevolence towards me I should return them a hundred and a hundredfold for that one creatures sake I would make peace with the whole kind But I now indulge in dreams of bliss that can not be realised What I ask of you is reasonable and moderate I demand a creature
a,to look forward to it as an event that would certainly take place We were affectionate playfellows during childhood and I believe dear and valued friends to one another as we grew older But as brother and sister often entertain a lively affection towards each other without desiring a more intimate union may not such also be our case Tell me dearest Victor Answer me I conjure you by our mutual happiness with simple truthDo you not love another You have travelled you have spent several years of your life at Ingolstadt and I confess to you my friend that
a,me in a feeble voice and bidding me come near said Alas The strength I relied on is gone I feel that I shall soon die and he my enemy and persecutor may still be in being Think not Walton that in the last moments of my existence I feel that burning hatred and ardent desire of revenge I once expressed but I feel myself justified in desiring the death of my adversary During these last days I have been occupied in examining my past conduct nor do I find it blamable In a fit of enthusiastic madness I created
a,daydreams become more fervent and vivid I try in vain to be persuaded that the pole is the seat of frost and desolation it ever presents itself to my imagination as the region of beauty and delight There Margaret the sun is for ever visible its broad disk just skirting the horizon and diffusing a perpetual splendour Therefor with your leave my sister I will put some trust in preceding navigatorsthere snow and frost are banished and sailing over a calm sea we may be wafted to a land surpassing in wonders and in beauty every region hitherto discovered on
a,was not there We returned again with torches for I could not rest when I thought that my sweet boy had lost himself and was exposed to all the damps and dews of night Elizabeth also suffered extreme anguish About five in the morning I discovered my lovely boy whom the night before I had seen blooming and active in health stretched on the grass livid and motionless the print of the murders finger was on his neck He was conveyed home and the anguish that was visible in my countenance betrayed the secret to Elizabeth She was very earnest
a,him and afterwards waited for a long time but that he did not return This account rather alarmed us and we continued to search for him until night fell when Elizabeth conjectured that he might have returned to the house He was not there We returned again with torches for I could not rest when I thought that my sweet boy had lost himself and was exposed to all the damps and dews of night Elizabeth also suffered extreme anguish About five in the morning I discovered my lovely boy whom the night before I had seen blooming and active
a,is very shocking to you can I do anything to make you more comfortable I thank you but all that you mention is nothing to me on the whole earth there is no comfort which I am capable of receiving I know that the sympathy of a stranger can be but of little relief to one borne down as you are by so strange a misfortune But you will I hope soon quit this melancholy abode for doubtless evidence can easily be brought to free you from the criminal charge That is my least concern I am by a course
a,rapid the overthrow so complete Morning dismal and wet at length dawned and discovered to my sleepless and aching eyes the church of Ingolstadt its white steeple and clock which indicated the sixth hour The porter opened the gates of the court which had that night been my asylum and I issued into the streets pacing them with quick steps as if I sought to avoid the wretch whom I feared every turning of the street would present to my view I did not dare return to the apartment which I inhabited but felt impelled to hurry on although drenched
a,impotent passions For while I destroyed his hopes I did not satisfy my own desires They were for ever ardent and craving still I desired love and fellowship and I was still spurned Was there no injustice in this Am I to be thought the only criminal when all humankind sinned against me Why do you not hate Felix who drove his friend from his door with contumely Why do you not execrate the rustic who sought to destroy the saviour of his child Nay these are virtuous and immaculate beings I the miserable and the abandoned am an abortion
a,during many months calm and serene joy I welcomed my friend therefore in the most cordial manner and we walked towards my college Clerval continued talking for some time about our mutual friends and his own good fortune in being permitted to come to Ingolstadt You may easily believe said he how great was the difficulty to persuade my father that all necessary knowledge was not comprised in the noble art of bookkeeping and indeed I believe I left him incredulous to the last for his constant answer to my unwearied entreaties was the same as that of the Dutch
a,It advanced from behind the mountains of Jura and the thunder burst at once with frightful loudness from various quarters of the heavens I remained while the storm lasted watching its progress with curiosity and delight As I stood at the door on a sudden I beheld a stream of fire issue from an old and beautiful oak which stood about twenty yards from our house and so soon as the dazzling light vanished the oak had disappeared and nothing remained but a blasted stump When we visited it the next morning we found the tree shattered in a singular
a,my admiration by turns The vegetables in the gardens the milk and cheese that I saw placed at the windows of some of the cottages allured my appetite One of the best of these I entered but I had hardly placed my foot within the door before the children shrieked and one of the women fainted The whole village was roused some fled some attacked me until grievously bruised by stones and many other kinds of missile weapons I escaped to the open country and fearfully took refuge in a low hovel quite bare and making a wretched appearance after
a,you with confidence and sincerity I listened to my father in silence and remained for some time incapable of offering any reply I revolved rapidly in my mind a multitude of thoughts and endeavoured to arrive at some conclusion Alas To me the idea of an immediate union with my Elizabeth was one of horror and dismay I was bound by a solemn promise which I had not yet fulfilled and dared not break or if I did what manifold miseries might not impend over me and my devoted family Could I enter into a festival with this deadly weight
a,was not as the other traveller seemed to be a savage inhabitant of some undiscovered island but a European When I appeared on deck the master said Here is our captain and he will not allow you to perish on the open sea On perceiving me the stranger addressed me in English although with a foreign accent Before I come on board your vessel said he will you have the kindness to inform me whither you are bound You may conceive my astonishment on hearing such a question addressed to me from a man on the brink of destruction and
a,to this strange occurrence up to the present day The stranger has gradually improved in health but is very silent and appears uneasy when anyone except myself enters his cabin Yet his manners are so conciliating and gentle that the sailors are all interested in him although they have had very little communication with him For my own part I begin to love him as a brother and his constant and deep grief fills me with sympathy and compassion He must have been a noble creature in his better days being even now in wreck so attractive and amiable I
a,to have avowed that he felt like a child picking up shells beside the great and unexplored ocean of truth Those of his successors in each branch of natural philosophy with whom I was acquainted appeared even to my boys apprehensions as tyros engaged in the same pursuit The untaught peasant beheld the elements around him and was acquainted with their practical uses The most learned philosopher knew little more He had partially unveiled the face of Nature but her immortal lineaments were still a wonder and a mystery He might dissect anatomise and give names but not to speak
a,her voice accompanied it in sweet accents but unlike the wondrous strain of the stranger The old man appeared enraptured and said some words which Agatha endeavoured to explain to Safie and by which he appeared to wish to express that she bestowed on him the greatest delight by her music The days now passed as peaceably as before with the sole alteration that joy had taken place of sadness in the countenances of my friends Safie was always gay and happy she and I improved rapidly in the knowledge of language so that in two months I began to
a,and it is on that account that I feel so many overwhelming terrors I tenderly love these friends I have unknown to them been for many months in the habits of daily kindness towards them but they believe that I wish to injure them and it is that prejudice which I wish to overcome Where do these friends reside Near this spot The old man paused and then continued If you will unreservedly confide to me the particulars of your tale I perhaps may be of use in undeceiving them I am blind and can not judge of your countenance
a,with her I now made arrangements for my journey but one feeling haunted me which filled me with fear and agitation During my absence I should leave my friends unconscious of the existence of their enemy and unprotected from his attacks exasperated as he might be by my departure But he had promised to follow me wherever I might go and would he not accompany me to England This imagination was dreadful in itself but soothing inasmuch as it supposed the safety of my friends I was agonised with the idea of the possibility that the reverse of this might
a,join them but dared not I remembered too well the treatment I had suffered the night before from the barbarous villagers and resolved whatever course of conduct I might hereafter think it right to pursue that for the present I would remain quietly in my hovel watching and endeavouring to discover the motives which influenced their actions The cottagers arose the next morning before the sun The young woman arranged the cottage and prepared the food and the youth departed after the first meal This day was passed in the same routine as that which preceded it The young man
a,back to my thoughts my father Elizabeth and all those scenes of home so dear to my recollection I grasped his hand and in a moment forgot my horror and misfortune I felt suddenly and for the first time during many months calm and serene joy I welcomed my friend therefore in the most cordial manner and we walked towards my college Clerval continued talking for some time about our mutual friends and his own good fortune in being permitted to come to Ingolstadt You may easily believe said he how great was the difficulty to persuade my father that
a,the garden By degrees I made a discovery of still greater moment I found that these people possessed a method of communicating their experience and feelings to one another by articulate sounds I perceived that the words they spoke sometimes produced pleasure or pain smiles or sadness in the minds and countenances of the hearers This was indeed a godlike science and I ardently desired to become acquainted with it But I was baffled in every attempt I made for this purpose Their pronunciation was quick and the words they uttered not having any apparent connection with visible objects I
a,the apparition of a spirit Darkness had no effect upon my fancy and a churchyard was to me merely the receptacle of bodies deprived of life which from being the seat of beauty and strength had become food for the worm Now I was led to examine the cause and progress of this decay and forced to spend days and nights in vaults and charnelhouses My attention was fixed upon every object the most insupportable to the delicacy of the human feelings I saw how the fine form of man was degraded and wasted I beheld the corruption of death
a,all that had passed The whole series of my life appeared to me as a dream I sometimes doubted if indeed it were all true for it never presented itself to my mind with the force of reality As the images that floated before me became more distinct I grew feverish a darkness pressed around me no one was near me who soothed me with the gentle voice of love no dear hand supported me The physician came and prescribed medicines and the old woman prepared them for me but utter carelessness was visible in the first and the expression
a,of June and when shall I return Ah dear sister how can I answer this question If I succeed many many months perhaps years will pass before you and I may meet If I fail you will see me again soon or never Farewell my dear excellent Margaret Heaven shower down blessings on you and save me that I may again and again testify my gratitude for all your love and kindness Your affectionate brother R Walton Letter 2 To Mrs Saville England Archangel 28th March 17 How slowly the time passes here encompassed as I am by frost and
a,yet seen a being resembling me or who claimed any intercourse with me What was I The question again recurred to be answered only with groans I will soon explain to what these feelings tended but allow me now to return to the cottagers whose story excited in me such various feelings of indignation delight and wonder but which all terminated in additional love and reverence for my protectors for so I loved in an innocent halfpainful selfdeceit to call them Chapter 14 Some time elapsed before I learned the history of my friends It was one which could not
a,that if I lost all trace of him I should despair and die left some mark to guide me The snows descended on my head and I saw the print of his huge step on the white plain To you first entering on life to whom care is new and agony unknown how can you understand what I have felt and still feel Cold want and fatigue were the least pains which I was destined to endure I was cursed by some devil and carried about with me my eternal hell yet still a spirit of good followed and directed
a,eyes will ever behold Farewell Frankenstein If thou wert yet alive and yet cherished a desire of revenge against me it would be better satiated in my life than in my destruction But it was not so thou didst seek my extinction that I might not cause greater wretchedness and if yet in some mode unknown to me thou hadst not ceased to think and feel thou wouldst not desire against me a vengeance greater than that which I feel Blasted as thou wert my agony was still superior to thine for the bitter sting of remorse will not cease
a,the sad death of my little William She is innocent my Elizabeth said I and that shall be proved fear nothing but let your spirits be cheered by the assurance of her acquittal How kind and generous you are every one else believes in her guilt and that made me wretched for I knew that it was impossible and to see every one else prejudiced in so deadly a manner rendered me hopeless and despairing She wept Dearest niece said my father dry your tears If she is as you believe innocent rely on the justice of our laws and
a,the respect and obedience paid to him by his crew I felt myself peculiarly fortunate in being able to secure his services I heard of him first in rather a romantic manner from a lady who owes to him the happiness of her life This briefly is his story Some years ago he loved a young Russian lady of moderate fortune and having amassed a considerable sum in prizemoney the father of the girl consented to the match He saw his mistress once before the destined ceremony but she was bathed in tears and throwing herself at his feet entreated
a,rest of the family being obliged to attend as witnesses I accompanied them to the court During the whole of this wretched mockery of justice I suffered living torture It was to be decided whether the result of my curiosity and lawless devices would cause the death of two of my fellow beings one a smiling babe full of innocence and joy the other far more dreadfully murdered with every aggravation of infamy that could make the murder memorable in horror Justine also was a girl of merit and possessed qualities which promised to render her life happy now all
